編號,英文單字,詞性,中文意思
1352,principal,名詞,校長
1353,principle,名詞,原則
1354,print,動詞,列印
1355,printer,名詞,印表機
1356,private,形容詞,私人的
1357,prize,名詞,獎品
1358,problem,名詞,問題
1359,produce,動詞,生產
1360,production,名詞,生產
1361,program,名詞,節目；程式
1362,progress,名詞,進步
1363,project,名詞,專案
1364,promise,動詞,承諾
1365,pronounce,動詞,發音
1366,protect,動詞,保護
1367,proud,形容詞,驕傲的
1368,provide,動詞,提供
1369,public,形容詞,公眾的；公共的
1370,pull,動詞,拉
1371,pumpkin,名詞,南瓜
1372,punish,動詞,懲罰
1373,puppy,名詞,小狗
1374,purple,名詞,紫色
1375,purpose,名詞,目的
1376,purse,名詞,錢包（女用）
1377,push,動詞,推
1378,put,動詞,放
1379,puzzle,名詞,拼圖；謎題
1380,quarter,名詞,一刻鐘；四分之一
1381,queen,名詞,女王
1382,question,名詞,問題
1383,quiet,形容詞,安靜的
1384,quit,動詞,退出
1385,quiz,名詞,小考
1386,rabbit,名詞,兔子
1387,race,名詞,賽跑；競賽
1388,radio,名詞,收音機
1389,railroad,名詞,鐵路
1390,railway,名詞,鐵道
1391,rain,動詞,下雨
1392,rainbow,名詞,彩虹
1393,raincoat,名詞,雨衣
1394,rainy,形容詞,下雨的
1395,raise,動詞,提高；撫養
1396,rare,形容詞,稀有的
1397,rat,名詞,大鼠
1398,reach,動詞,到達
1399,read,動詞,閱讀
1400,ready,形容詞,準備好的
1401,real,形容詞,真實的
1402,realize,動詞,意識到
1403,really,副詞,真地
1404,reason,名詞,理由
1405,receive,動詞,接收
1406,record,名詞,紀錄
1407,recover,動詞,恢復；痊癒
1408,rectangle,名詞,長方形
1409,recycle,動詞,回收
1410,red,名詞,紅色
1411,refrigerator,名詞,冰箱
1412,refuse,動詞,拒絕
1413,regret,動詞,後悔
1414,regular,形容詞,規律的；定期的
1415,reject,動詞,拒絕
1416,relative,名詞,親戚
1417,remember,動詞,記得
1418,remind,動詞,提醒
1419,rent,動詞,租用
1420,repair,動詞,修復
1421,repeat,動詞,重複
1422,report,名詞,報告
1423,reporter,名詞,記者
1424,respect,動詞,尊重
1425,responsible,形容詞,負責的
1426,rest,動詞,休息
1427,restaurant,名詞,餐廳
1428,restroom,名詞,洗手間
1429,result,名詞,結果
1430,return,動詞,歸還
1431,review,動詞,複習
1432,revise,動詞,修改
1433,rice,名詞,米飯
1434,rich,形容詞,有錢的
1435,ride,動詞,騎乘；搭乘
1436,right,形容詞,右邊的
1437,right,形容詞,正確的；右邊的
1438,ring,名詞,戒指
1439,rise,動詞,上升
1440,river,名詞,河流
1441,rob,動詞,搶劫
1442,robot,名詞,機器人
1443,rock,名詞,岩石
1444,role,名詞,角色
1445,roll,動詞,滾動
1446,roller blade,動詞,溜直排輪
1447,roller skate,動詞,溜輪鞋
1448,roof,名詞,屋頂
1449,room,名詞,房間
1450,root,名詞,根
1451,rope,名詞,繩子
1452,rose,名詞,玫瑰
1453,round,形容詞,圓形的
1454,row,名詞,排；行
1455,rub,動詞,摩擦
1456,rude,形容詞,粗魯的
1457,ruin,動詞,毀滅
1458,rule,名詞,規則
1459,ruler,名詞,尺
1460,run,動詞,跑步
1461,run,動詞,跑
1462,sad,形容詞,難過的
1463,safe,形容詞,安全的
1464,safety,名詞,安全
1465,sail,動詞,航行
1466,sail,動詞,航行
1467,sailor,名詞,水手
1468,salad,名詞,沙拉
1469,sale,名詞,拍賣；銷售
1470,salesman,名詞,銷售員
1471,salt,名詞,鹽
1472,same,形容詞,相同的
1473,sample,名詞,樣品
1474,sand,名詞,沙子
1475,sandwich,名詞,三明治
1476,satisfy,動詞,滿足
1477,Saturday,名詞,星期六
1478,save,動詞,拯救；儲存
1479,say,動詞,說
1480,scared,形容詞,害怕的
1481,scared,形容詞,害怕的
1482,scarf,名詞,圍巾
1483,scene,名詞,場景
1484,scenery,名詞,風景
1485,school,名詞,學校
1486,science,名詞,科學
1487,scientist,名詞,科學家
1488,scooter,名詞,速克達；小摩托車
1489,score,名詞,分數
1490,screen,名詞,螢幕
1491,sea,名詞,海
1492,seafood,名詞,海鮮
1493,search,動詞,搜尋
1494,season,名詞,季節
1495,seat,名詞,座位
1496,second,名詞,第二
1497,second,名詞,秒
1498,secondary,形容詞,次要的
1499,secret,名詞,秘密
1500,secretary,名詞,秘書
1501,section,名詞,部分
1502,see,動詞,看見
1503,seed,名詞,種子
1504,seem,動詞,似乎
1505,seesaw,名詞,翹翹板
1506,seldom,副詞,很少
1507,select,動詞,選擇
1508,selfish,形容詞,自私的
1509,sell,動詞,賣
1510,semester,名詞,學期
1511,send,動詞,傳送1512 senior high school名詞高中
1512,senior high school,名詞,高中
1513,sense,名詞,感覺；理智
1514,sentence,名詞,句子
1515,September,名詞,九月
1516,serious,形容詞,嚴肅的；嚴重的
1517,servant,名詞,僕人
1518,serve,動詞,服務
1519,service,名詞,服務
1520,set,名詞,一套
1521,seven,名詞,七
1522,seventeen,名詞,十七
1523,seventy,名詞,七十
1524,several,限定詞,幾個
1525,shake,動詞,搖動
1526,shape,名詞,形狀
1527,share,動詞,分享
1528,shark,名詞,鯊魚
1529,sharp,形容詞,鋒利的；尖銳的
1530,she,代名詞(主格),她
1531,sheep,名詞,綿羊
1532,sheet,名詞,床單
1533,sheet,名詞,一張（紙）
1534,shelf,名詞,架子
1535,shine,動詞,照耀
1536,ship,名詞,船（大船）
1537,shirt,名詞,襯衫
1538,shoes,名詞,鞋子
1539,shoot,動詞,射擊
1540,shop,名詞,商店
1541,shopkeeper,名詞,店主
1542,shore,名詞,岸
1543,short,形容詞,矮的
1544,short,形容詞,短的；矮的
1545,shorts,名詞,短褲
1546,shoulder,名詞,肩膀
1547,shout,動詞,喊叫
1548,show,動詞,展示
1549,shower,名詞,陣雨
1550,shrimp,名詞,蝦
1551,shrimp,名詞,蝦
1552,shut,動詞,關閉
1553,shy,形容詞,害羞的
1554,sick,形容詞,生病的
1555,side,名詞,邊；側
1556,sidewalk,名詞,人行道
1557,sight,名詞,景象
1558,sign,動詞,簽名
1559,silence,名詞,寂靜
1560,silent,形容詞,沉默的
1561,silly,形容詞,傻的
1562,silver,名詞,銀
1563,similar,形容詞,相似的
1564,since,介系詞,自從…
1565,since,連接詞,自從；既然
1566,sincere,形容詞,真誠的
1567,sing,動詞,唱歌
1568,singer,名詞,歌手
1569,single,形容詞,單一的；單身的
1570,sink,名詞,水槽
1571,sister,名詞,姊妹
1572,six,名詞,六
1573,sixteen,名詞,十六
1574,sixty,名詞,六十
1575,size,名詞,尺寸
1576,skate,動詞,溜冰
1577,ski,動詞,滑雪
1578,skill,名詞,技能
1579,skillful,形容詞,熟練的
1580,skin,名詞,皮膚
1581,skinny,形容詞,極瘦的
1582,skirt,名詞,裙子
1583,sky,名詞,天空
1584,sleep,動詞,睡覺
1585,sleepy,形容詞,想睡的
1586,slender,形容詞,苗條的
1587,slice,動詞,切片
1588,slide,名詞,溜滑梯
1589,slim,形容詞,纖細的
1590,slippers,名詞,拖鞋
1591,slow,形容詞,慢的
1592,small,形容詞,小的
1593,smart,形容詞,聰明的
1594,smell,動詞,聞
1595,smile,名詞,微笑
1596,smoke,動詞,抽煙
1597,snack,名詞,點心
1598,snail,名詞,蝸牛
1599,snake,名詞,蛇
1600,sneakers,名詞,運動鞋
1601,sneaky,形容詞,鬼鬼祟祟的
1602,snow,名詞,雪
1603,snowy,形容詞,下雪的
1604,so,副詞,如此；這麼
1605,soap,名詞,肥皂
1606,soccer,名詞,足球
1607,social,形容詞,社會的；社交的
1608,social science,名詞,社會科學
1609,society,名詞,社會
1610,socks,名詞,襪子
1611,soda,名詞,汽水
1612,sofa,名詞,沙發
1613,soft drink,名詞,軟性飲料
1614,softball,名詞,壘球
1615,soldier,名詞,士兵
1616,solve,動詞,解決
1617,some,代名詞,一些
1618,someone,代名詞,某人
1619,something,代名詞,某事
1620,sometimes,副詞,有時候
1621,somewhere,副詞,某個地方
1622,son,名詞,兒子
1623,song,名詞,歌曲
1624,soon,副詞,很快；不久
1625,sore throat,名詞,喉嚨痛
1626,sorry,形容詞,抱歉的；難過的
1627,soul,名詞,靈魂
1628,sound,動詞,聽起來
1629,soup,名詞,湯
1630,sour,形容詞,酸的
1631,south,形容詞,南方的
1632,soy sauce,名詞,醬油
1633,space,名詞,空間
1634,spaghetti,名詞,義大利麵
1635,speak,動詞,說話
1636,speaker,名詞,喇叭
1637,special,形容詞,特別的
1638,speech,名詞,演講
1639,speed,名詞,速度
1640,spell,動詞,拼寫
1641,spend,動詞,花費
1642,spider,名詞,蜘蛛
1643,spirit,名詞,精神
1644,spoon,名詞,湯匙
1645,sports,名詞,運動
1646,spot,名詞,污點
1647,spread,動詞,塗抹
1648,spring,名詞,春天
1649,spring,名詞,泉水
1650,square,名詞,正方形
1651,stairs,名詞,樓梯
1652,stamp,名詞,郵票
1653,stand,動詞,站立
1654,star,名詞,星星
1655,start,動詞,開始
1656,state,名詞,狀態；州
1657,station,名詞,車站
1658,stationery store,名詞,文具店
1659,stay,動詞,停留
1660,steak,名詞,牛排
1661,steal,動詞,偷竊
1662,steam,名詞,蒸汽
1663,step,名詞,步驟；腳步
1664,still,副詞,仍然
1665,stingy,形容詞,小氣的
1666,stomach,名詞,胃
1667,stomachache,名詞,胃痛
1668,stone,名詞,石頭
1669,stop,動詞,停止
1670,stopwatch,名詞,碼表
1671,store,名詞,商店
1672,storm,名詞,暴風雨
1673,stormy,形容詞,暴風雨的
1674,story,名詞,故事
1675,story,名詞,故事
1676,stove,名詞,爐子
1677,straight,形容詞,直的
1678,strange,形容詞,奇怪的
1679,stranger,名詞,陌生人
1680,straw,名詞,吸管
1681,strawberry,名詞,草莓
1682,stream,名詞,溪流
1683,street,名詞,街道
1684,strike,動詞,打擊；罷工
1685,string,名詞,細繩
1686,strong,形容詞,強壯的
1687,student,名詞,學生
1688,study,動詞,研讀
1689,stupid,形容詞,笨的
1690,style,名詞,風格
1691,subject,名詞,主題；科目
1692,subway,名詞,地鐵
1693,succeed,動詞,成功
1694,success,名詞,成功
1695,successful,形容詞,成功的
1696,sudden,形容詞,突然的
1697,sugar,名詞,糖
1698,suggest,動詞,建議
1699,suit,名詞,西裝
1700,summer,名詞,夏天
1701,sun,名詞,太陽
1702,Sunday,名詞,星期日
1703,sunny,形容詞,陽光充足的
1704,super,形容詞,超級的
1705,supermarket,名詞,超市
1706,supper,名詞,消夜
1707,support,動詞,支持
1708,surf,動詞,衝浪
1709,surprise,動詞,使驚訝
1710,surprised,形容詞,感到驚訝的
1711,survive,動詞,生存
1712,swallow,動詞,吞嚥
1713,swan,名詞,天鵝
1714,sweater,名詞,毛衣
1715,sweep,動詞,清掃
1716,sweet,形容詞,甜的
1717,swim,動詞,游泳
1718,swimsuit,名詞,泳衣
1719,swing,名詞,鞦韆；搖擺
1720,symbol,名詞,符號
1721,system,名詞,系統
1722,table,名詞,桌子
1723,table tennis,名詞,桌球
1724,tail,名詞,尾巴
1725,Taiwanese,名詞,台灣人
1726,take,動詞,拿；帶
1727,talent,名詞,天賦
1728,talk,動詞,談話
1729,talkative,形容詞,健談的
1730,tall,形容詞,高的
1731,tangerine,名詞,橘子
1732,tank,名詞,坦克車
1733,taste,動詞,嘗起來
1734,taxi,名詞,計程車
1735,tea,名詞,茶
1736,teach,動詞,教學
1737,teacher,名詞,老師1738 Teacher’s Day名詞教師節
1738,Teacher’s Day,名詞,教師節
1739,team,名詞,隊伍
1740,teapot,名詞,茶壺
1741,tear,名詞,眼淚
1742,teenager,名詞,青少年
1743,telephone,名詞,電話
1744,television,名詞,電視
1745,tell,動詞,告訴
1746,temperature,名詞,溫度
1747,temple,名詞,寺廟
1748,ten,名詞,十
1749,tennis,名詞,網球
1750,tent,名詞,帳篷
1751,term,名詞,學期
1752,terrible,形容詞,糟糕的；可怕的
1753,terrific,形容詞,極好的
1754,test,名詞,測驗
1755,textbook,名詞,教科書
1756,than,介系詞,比…
1757,than,連接詞,比
1758,thank,動詞,感謝
1759,Thanksgiving,名詞,感恩節
1760,that,限定詞,那個（遠指單數）
1761,theater,名詞,劇院
1762,their,所有格,他們的
1763,their,所有格,他們的；它們的
1764,theirs,代名詞,他們的；它們的
1765,them,代名詞(受格),他們；它們
1766,themselves,代名詞,他們自己；它們自己
1767,then,副詞,然後
1768,therefore,副詞,因此
1769,these,限定詞,這些（近指複數）
1770,they,代名詞(主格),他們；它們
1771,thick,形容詞,厚的
1772,thief,名詞,小偷
1773,thin,形容詞,瘦的
1774,thing,名詞,東西
1775,think,動詞,思考
1776,third,名詞,第三
1777,thirsty,形容詞,渴的
1778,thirteen,名詞,十三
1779,thirty,名詞,三十
1780,this,限定詞,這個（近指單數）
1781,those,限定詞,那些（遠指複數）
1782,though,連接詞,雖然
1783,thought,名詞,想法
1784,thousand,名詞,千
1785,three,名詞,三
1786,throat,名詞,喉嚨
1787,through,介系詞,穿過；透過
1788,throw,動詞,丟擲
1789,thumb,名詞,拇指
1790,thunder,名詞,雷聲
1791,Thursday,名詞,星期四
1792,ticket,名詞,票
1793,tidy,形容詞,整潔的
1794,tie,名詞,領帶
1795,tiger,名詞,老虎
1796,time,名詞,時間
1797,tiny,形容詞,微小的
1798,tip,名詞,小費；提示
1799,tired,形容詞,疲倦的
1800,title,名詞,標題
1801,to,介系詞,到…；向…
1802,toast,名詞,吐司
1803,today,名詞,今天
1804,toe,名詞,腳趾
1805,tofu,名詞,豆腐
1806,together,副詞,一起
1807,toilet,名詞,馬桶
1808,tomato,名詞,番茄
1809,tomorrow,名詞,明天
1810,tongue,名詞,舌頭
1811,tonight,名詞,今晚
1812,tool,名詞,工具
1813,tooth,名詞,牙齒
1814,toothache,名詞,牙痛
1815,toothbrush,名詞,牙刷
1816,top,形容詞,頂部的
1817,topic,名詞,話題
1818,total,名詞,總數
1819,touch,動詞,觸摸
1820,toward,介系詞,朝向…
1821,towel,名詞,毛巾
1822,tower,名詞,塔
1823,town,名詞,城鎮
1824,toy,名詞,玩具
1825,trade,名詞,貿易
1826,tradition,名詞,傳統
1827,traditional,形容詞,傳統的
1828,traffic,名詞,交通
1829,train,名詞,火車
1830,train station,名詞,火車站
1831,trash,名詞,垃圾
1832,trash can,名詞,垃圾桶
1833,travel,動詞,旅行
1834,treasure,名詞,寶藏
1835,treat,名詞,款待
1836,treat,動詞,對待
1837,tree,名詞,樹
1838,triangle,名詞,三角形
1839,trick,名詞,詭計
1840,trip,名詞,旅行
1841,trouble,名詞,麻煩
1842,truck,名詞,卡車
1843,trumpet,名詞,小喇叭
1844,trust,動詞,信任
1845,truth,名詞,真相
1846,try,動詞,嘗試
1847,T-shirt,名詞,T 恤
1848,tub,名詞,浴缸
1849,tube,名詞,管子
1850,Tuesday,名詞,星期二
1851,tunnel,名詞,隧道
1852,turkey,名詞,火雞
1853,turn,動詞,轉彎
1854,turtle,名詞,烏龜
1855,twelve,名詞,十二
1856,twenty,名詞,二十
1857,twice,副詞,兩次
1858,two,名詞,二
1859,type,動詞,打字
1860,typhoon,名詞,颱風
1861,ugly,形容詞,醜陋的
1862,umbrella,名詞,雨傘
1863,umbrella,名詞,雨傘
1864,uncle,名詞,叔叔；舅舅
1865,under,介系詞,在…下面
1866,underline,動詞,畫底線
1867,underpass,名詞,地下道
1868,understand,動詞,理解
1869,underwear,名詞,內衣
1870,under-weight,形容詞,體重不足的
1871,unhappy,形容詞,不快樂的
1872,uniform,名詞,制服
1873,unique,形容詞,獨特的
1874,universe,名詞,宇宙
1875,university,名詞,大學
1876,until,介系詞,直到…
1877,up,介系詞,沿…而上
1878,upload,動詞,上傳
1879,upstairs,名詞,樓上
1880,us,代名詞(受格),我們
1881,use,動詞,使用
1882,useful,形容詞,有用的
1883,usually,副詞,通常
1884,vacation,名詞,假期1885 Valentine’s Day名詞情人節
1885,Valentine’s Day,名詞,情人節
1886,valley,名詞,山谷
1887,valuable,形容詞,有價值的
1888,value,名詞,價值
1889,vegetable,名詞,蔬菜
1890,vendor,名詞,小販
1891,very,副詞,非常
1892,vest,名詞,背心
1893,victory,名詞,勝利
1894,video,名詞,影片；錄影機
1895,village,名詞,村莊
1896,vinegar,名詞,醋
1897,violin,名詞,小提琴
1898,visit,動詞,拜訪
1899,visitor,名詞,訪客
1900,vocabulary,名詞,字彙
1901,voice,名詞,聲音
1902,volleyball,名詞,排球
1903,vote,動詞,投票
1904,waist,名詞,腰部
1905,wait,動詞,等待
1906,waiter,名詞,服務生（男性）
1907,waitress,名詞,服務生（女性）
1908,wake,動詞,醒來
1909,walk,動詞,走路
1910,wall,名詞,牆
1911,wallet,名詞,皮夾（男用）
1912,want,動詞,想要
1913,war,名詞,戰爭
1914,warm,形容詞,溫暖的
1915,wash,動詞,清洗
1916,waste,動詞,浪費
1917,watch,名詞,手錶
1918,watch,動詞,觀看
1919,water,名詞,水
1920,waterfalls,名詞,瀑布
1921,watermelon,名詞,西瓜
1922,wave,動詞,揮手
1923,way,名詞,方式；道路
1924,we,代名詞(主格),我們
1925,weak,形容詞,虛弱的
1926,wear,動詞,穿著
1927,weather,名詞,天氣
1928,wedding,名詞,婚禮
1929,Wednesday,名詞,星期三
1930,week,名詞,星期；週
1931,week,名詞,星期；週
1932,weekday,名詞,平日（週一至週五）
1933,weekend,名詞,週末
1934,weekend,名詞,週末
1935,weight,名詞,重量
1936,welcome,動詞,歡迎
1937,well,形容詞,身體健康的
1938,west,形容詞,西方的
1939,wet,形容詞,潮濕的
1940,whale,名詞,鯨魚
1941,what,疑問詞,什麼
1942,wheel,名詞,輪子
1943,when,疑問詞,何時
1944,where,疑問詞,在哪裡
1945,whether,連接詞,是否
1946,which,疑問詞,哪一個
1947,while,連接詞,當…時；然而
1948,white,名詞,白色
1949,who,疑問詞,誰
1950,whose,疑問詞,誰的
1951,why,疑問詞,為什麼
1952,wide,形容詞,寬的
1953,wife,名詞,妻子
1954,wild,形容詞,野生的；狂野的
1955,win,動詞,贏得
1956,wind,名詞,風
1957,window,名詞,窗戶
1958,windy,形容詞,多風的
1959,wing,名詞,翅膀
1960,winner,名詞,贏家
1961,winter,名詞,冬天
1962,wise,形容詞,有智慧的
1963,wish,動詞,希望
1964,with,介系詞,和…一起；用…
1965,without,介系詞,沒有…
1966,wok,名詞,炒鍋
1967,wolf,名詞,狼
1968,woman,名詞,女人1969 women’s room名詞女廁
1969,women’s room,名詞,女廁
1970,wonderful,形容詞,美妙的
1971,wood,名詞,木材
1972,woods,名詞,樹林
1973,word,名詞,字詞
1974,workbook,名詞,練習本
1975,worm,名詞,蠕蟲
1976,worry,動詞,擔心
1977,wound,名詞,創傷；傷口
1978,wrist,名詞,手腕
1979,write,動詞,書寫
1980,writer,名詞,作家
1981,wrong,形容詞,錯誤的
1982,yard,名詞,院子
1983,yard,名詞,碼
1984,year,名詞,年
1985,yell,動詞,大叫
1986,yellow,名詞,黃色
1987,yesterday,名詞,昨天
1988,yet,副詞,尚未；但是
1989,you,代名詞(主/受格),你；你們
1990,young,形容詞,年輕的
1991,your,所有格,你的；你們的
1992,your,所有格,你的；你們的
1993,yours,代名詞,你的；你們的
1994,yourself,代名詞,你自己
1995,yourselves,代名詞,你們自己
1996,youth,名詞,青年
1997,yummy,形容詞,好吃的
1998,zebra,名詞,斑馬
1999,zero,名詞,零
2000,zoo,名詞,動物園
